split	en	bn
train	There is a classroom in the clock.	শ্রেণিকক্ষে একটি ঘড়ি আছে।
train	The dentist explained healthy eating to the patient.	দন্তচিকিৎসক রোগীকে স্বাস্থ্যকর খাদ্যাভ্যাস সম্পর্কে বুঝিয়ে বলেছেন।
train	Karim reads a short story every evening.	করিম প্রতিদিন সন্ধ্যায় একটি ছোটগল্প পড়ে।
train	Where can I buy a mobile charger in the airport?	আমি বিমানবন্দরে একটি মোবাইল চার্জার কোথায় কিনতে পারি?
train	The kite is black.	ঘুড়িটি কালো।
train	The student studies chemistry in the evening.	শিক্ষার্থী রসায়ন সন্ধ্যায় পড়ে।
train	after class, the family eats dinner together.	ক্লাসের পরে পরিবারটি একসঙ্গে রাতের খাবার খায়।
train	If it remains clear, we will close the windows.	যদি আকাশ পরিষ্কার থাকে, আমরা জানালাগুলো বন্ধ করব।
train	Please close the window carefully.	দয়া করে সাবধানে জানালাটি বন্ধ করুন।
train	The neural network is trained for headline generation.	নিউরাল নেটওয়ার্কটি শিরোনাম তৈরির জন্য প্রশিক্ষিত।
train	The car is pink.	গাড়িটি গোলাপি।
train	The baseline model is trained for Bangla-to-English translation.	বেসলাইন মডেলটি বাংলা থেকে ইংরেজি অনুবাদের জন্য প্রশিক্ষিত।
train	every morning, the family cooks together.	প্রতিদিন সকালে পরিবারটি একসঙ্গে রান্না করে।
train	The car is white.	গাড়িটি সাদা।
train	my brother can ride a bicycle very well.	আমার ভাই খুব ভালোভাবে সাইকেল চালাতে পারে।
train	Rina can explain lessons very well.	রিনা খুব ভালোভাবে পাঠ বুঝিয়ে বলতে পারে।
train	Please open the door without delay.	দয়া করে বিলম্ব না করে দরজাটি খুলুন।
train	The pharmacist explained healthy eating to the patient.	ফার্মাসিস্ট রোগীকে স্বাস্থ্যকর খাদ্যাভ্যাস সম্পর্কে বুঝিয়ে বলেছেন।
train	Rahim can speak English very well.	রহিম খুব ভালোভাবে ইংরেজি বলতে পারে।
train	Where can I buy a notebook in the airport?	আমি বিমানবন্দরে একটি খাতা কোথায় কিনতে পারি?
train	The shopkeeper packed two books.	দোকানদার দুটি বই প্যাক করেছে।
train	The engineer uses the computer to read an article.	প্রকৌশলী কম্পিউটার ব্যবহার করে একটি নিবন্ধ পড়তে।
train	There is a library in the lamp.	গ্রন্থাগারে একটি বাতি আছে।
train	My friend will prepare the documents next week.	আমার বন্ধু আগামী সপ্তাহে কাগজপত্র প্রস্তুত করবে।
train	Rina likes soup.	রিনা স্যুপ পছন্দ করে।
train	Where can I buy a train ticket in the airport?	আমি বিমানবন্দরে একটি ট্রেনের টিকিট কোথায় কিনতে পারি?
train	every afternoon, the family cleans the house.	প্রতিদিন বিকেলে পরিবারটি বাড়ি পরিষ্কার করে।
train	The nutritionist explained stress management to the patient.	পুষ্টিবিদ রোগীকে মানসিক চাপ নিয়ন্ত্রণ সম্পর্কে বুঝিয়ে বলেছেন।
train	We measured memory usage for the small model.	আমরা ছোট মডেলের মেমরি ব্যবহার পরিমাপ করেছি।
train	The neural network is trained for Bangla-to-English translation.	নিউরাল নেটওয়ার্কটি বাংলা থেকে ইংরেজি অনুবাদের জন্য প্রশিক্ষিত।
train	The pharmacy is school the to the right of.	ওষুধের দোকানটি স্কুলটির ডান পাশে।
train	The traveler goes to Rajshahi by boat.	ভ্রমণকারী রাজশাহীতে নৌকায় যায়।
train	If it is windy, we will close the windows.	যদি বাতাস থাকে, আমরা জানালাগুলো বন্ধ করব।
train	The bag is brown.	ব্যাগটি বাদামি।
train	The programmer uses the computer to test the software.	প্রোগ্রামার কম্পিউটার ব্যবহার করে সফটওয়্যার পরীক্ষা করতে।
train	Where can I buy a train ticket in the bus terminal?	আমি বাস টার্মিনালে একটি ট্রেনের টিকিট কোথায় কিনতে পারি?
train	Where can I buy fresh vegetables in the hospital area?	আমি হাসপাতাল এলাকায় তাজা সবজি কোথায় কিনতে পারি?
train	Karim likes bread.	করিম রুটি পছন্দ করে।
train	The student cleaned the room last night.	শিক্ষার্থী গত রাতে ঘরটি পরিষ্কার করেছে।
train	Please write your name as soon as possible.	দয়া করে যত দ্রুত সম্ভব আপনার নাম লিখুন।
train	Where can I buy a bus pass in the shopping mall?	আমি শপিং মলে একটি বাস পাস কোথায় কিনতে পারি?
train	The nutritionist explained drinking water to the patient.	পুষ্টিবিদ রোগীকে পানি পান সম্পর্কে বুঝিয়ে বলেছেন।
train	the doctor likes tea.	ডাক্তার চা পছন্দ করে।
train	The student planted a tree during the break.	শিক্ষার্থী বিরতির সময় একটি গাছ লাগিয়েছে।
train	The kite is green.	ঘুড়িটি সবুজ।
train	The technician uses the computer to prepare a presentation.	প্রযুক্তিবিদ কম্পিউটার ব্যবহার করে একটি উপস্থাপনা প্রস্তুত করতে।
train	The experimental model is trained for question answering.	পরীক্ষামূলক মডেলটি প্রশ্নোত্তরের জন্য প্রশিক্ষিত।
train	The counselor explained hand hygiene to the patient.	পরামর্শদাতা রোগীকে হাতের পরিচ্ছন্নতা সম্পর্কে বুঝিয়ে বলেছেন।
train	We measured validation loss for the training set.	আমরা প্রশিক্ষণ সেটের ভ্যালিডেশন লস পরিমাপ করেছি।
train	Please write your name now.	দয়া করে এখন আপনার নাম লিখুন।
train	Rahim likes tea.	রহিম চা পছন্দ করে।
train	The pharmacy is restaurant the opposite.	ওষুধের দোকানটি রেস্তোরাঁটির বিপরীতে।
train	The pharmacy is market the beside.	ওষুধের দোকানটি বাজারটির পাশে।
train	The student cleaned the room during the break.	শিক্ষার্থী বিরতির সময় ঘরটি পরিষ্কার করেছে।
train	the doctor likes rice.	ডাক্তার ভাত পছন্দ করে।
train	the student likes coffee.	শিক্ষার্থী কফি পছন্দ করে।
train	The traveler goes to Dhaka by taxi.	ভ্রমণকারী ঢাকায় ট্যাক্সিতে যায়।
train	Please close the window this morning.	দয়া করে আজ সকালে জানালাটি বন্ধ করুন।
train	If it becomes cooler, we will play outside.	যদি আবহাওয়া ঠান্ডা হয়, আমরা বাইরে খেলব।
train	The pharmacy is hospital the to the right of.	ওষুধের দোকানটি হাসপাতালটির ডান পাশে।
train	The cup is black.	কাপটি কালো।
train	The traveler goes to the countryside by motorcycle.	ভ্রমণকারী গ্রামাঞ্চলে মোটরসাইকেলে যায়।
train	Please read the instructions after lunch.	দয়া করে দুপুরের খাবারের পরে নির্দেশনাগুলো পড়ুন।
train	the doctor likes fish.	ডাক্তার মাছ পছন্দ করে।
train	The doctor explained regular exercise to the patient.	ডাক্তার রোগীকে নিয়মিত ব্যায়াম সম্পর্কে বুঝিয়ে বলেছেন।
train	Where can I buy a new shirt in the university area?	আমি বিশ্ববিদ্যালয় এলাকায় একটি নতুন শার্ট কোথায় কিনতে পারি?
train	The bicycle is yellow.	সাইকেলটি হলুদ।
train	The technician uses the computer to design a website.	প্রযুক্তিবিদ কম্পিউটার ব্যবহার করে একটি ওয়েবসাইট ডিজাইন করতে।
train	The pharmacy is bank the within walking distance of.	ওষুধের দোকানটি ব্যাংকটির হাঁটা দূরত্বের মধ্যে।
train	my friend can speak English very well.	আমার বন্ধু খুব ভালোভাবে ইংরেজি বলতে পারে।
train	There is a office in the lamp.	অফিসে একটি বাতি আছে।
train	the student can play football very well.	শিক্ষার্থী খুব ভালোভাবে ফুটবল খেলতে পারে।
train	The door is black.	দরজাটি কালো।
train	The pharmacy is hospital the north of.	ওষুধের দোকানটি হাসপাতালটির উত্তরে।
train	every afternoon, the family plays indoor games.	প্রতিদিন বিকেলে পরিবারটি ঘরের ভেতর খেলা করে।
train	My friend will attend the meeting at ten o'clock.	আমার বন্ধু দশটায় সভায় অংশ নেবে।
train	The traveler goes to the city by metro.	ভ্রমণকারী শহরে মেট্রোতে যায়।
train	The traveler goes to the countryside by train.	ভ্রমণকারী গ্রামাঞ্চলে ট্রেনে যায়।
train	the teacher goes to the university every week.	শিক্ষক প্রতি সপ্তাহে বিশ্ববিদ্যালয়ে যায়।
train	The shopkeeper packed six toys.	দোকানদার ছয়টি খেলনা প্যাক করেছে।
train	There is a office in the whiteboard.	অফিসে একটি সাদা বোর্ড আছে।
train	If it is sunny, we will cancel the picnic.	যদি রোদ থাকে, আমরা বনভোজন বাতিল করব।
train	The surgeon explained healthy eating to the patient.	সার্জন রোগীকে স্বাস্থ্যকর খাদ্যাভ্যাস সম্পর্কে বুঝিয়ে বলেছেন।
train	If it is windy, we will cancel the picnic.	যদি বাতাস থাকে, আমরা বনভোজন বাতিল করব।
train	We measured BLEU score for the second experiment.	আমরা দ্বিতীয় পরীক্ষার ব্লু স্কোর পরিমাপ করেছি।
train	The shopkeeper packed nine bottles.	দোকানদার নয়টি বোতল প্যাক করেছে।
train	The traveler goes to Khulna by train.	ভ্রমণকারী খুলনায় ট্রেনে যায়।
train	Please check the document now.	দয়া করে এখন নথিটি পরীক্ষা করুন।
train	My friend will buy some groceries during the holiday.	আমার বন্ধু ছুটির সময় কিছু মুদি পণ্য কিনবে।
train	The language model is trained for next-token prediction.	ভাষা মডেলটি পরবর্তী টোকেন অনুমানের জন্য প্রশিক্ষিত।
train	Please send the message before you leave.	দয়া করে যাওয়ার আগে বার্তাটি পাঠান।
train	Please close the window after lunch.	দয়া করে দুপুরের খাবারের পরে জানালাটি বন্ধ করুন।
train	My friend will finish the project after breakfast.	আমার বন্ধু সকালের নাশতার পরে প্রকল্পটি শেষ করবে।
train	my brother likes rice.	আমার ভাই ভাত পছন্দ করে।
train	We measured BLEU score for the small model.	আমরা ছোট মডেলের ব্লু স্কোর পরিমাপ করেছি।
train	The experimental model is trained for headline generation.	পরীক্ষামূলক মডেলটি শিরোনাম তৈরির জন্য প্রশিক্ষিত।
train	My friend will meet the teacher at the weekend.	আমার বন্ধু সাপ্তাহিক ছুটিতে শিক্ষকের সঙ্গে দেখা করবে।
train	If it is windy, we will carry an umbrella.	যদি বাতাস থাকে, আমরা ছাতা সঙ্গে নেব।
train	The student completed the assignment last night.	শিক্ষার্থী গত রাতে অ্যাসাইনমেন্টটি সম্পন্ন করেছে।
train	The technician uses the computer to read an article.	প্রযুক্তিবিদ কম্পিউটার ব্যবহার করে একটি নিবন্ধ পড়তে।
train	We measured validation loss for the translation system.	আমরা অনুবাদ ব্যবস্থার ভ্যালিডেশন লস পরিমাপ করেছি।
train	Karim reads a newspaper every evening.	করিম প্রতিদিন সন্ধ্যায় একটি সংবাদপত্র পড়ে।
train	If it is sunny, we will play outside.	যদি রোদ থাকে, আমরা বাইরে খেলব।
train	The student studies economics on Monday.	শিক্ষার্থী অর্থনীতি সোমবার পড়ে।
train	The shopkeeper packed three boxes.	দোকানদার তিনটি বাক্স প্যাক করেছে।
train	before dinner, the family plays indoor games.	রাতের খাবারের আগে পরিবারটি ঘরের ভেতর খেলা করে।
train	The surgeon explained first aid to the patient.	সার্জন রোগীকে প্রাথমিক চিকিৎসা সম্পর্কে বুঝিয়ে বলেছেন।
train	The pharmacy is mosque the near.	ওষুধের দোকানটি মসজিদটির কাছে।
train	The traveler goes to the airport by airplane.	ভ্রমণকারী বিমানবন্দরে বিমানে যায়।
train	The pharmacy is mosque the behind.	ওষুধের দোকানটি মসজিদটির পেছনে।
train	The pharmacy is school the opposite.	ওষুধের দোকানটি স্কুলটির বিপরীতে।
train	The counselor explained routine checkups to the patient.	পরামর্শদাতা রোগীকে নিয়মিত স্বাস্থ্য পরীক্ষা সম্পর্কে বুঝিয়ে বলেছেন।
train	We measured training loss for the first experiment.	আমরা প্রথম পরীক্ষার প্রশিক্ষণ লস পরিমাপ করেছি।
train	Rina can play football very well.	রিনা খুব ভালোভাবে ফুটবল খেলতে পারে।
train	The shopkeeper packed four packages.	দোকানদার চারটি প্যাকেট প্যাক করেছে।
train	My friend will visit the library during the holiday.	আমার বন্ধু ছুটির সময় গ্রন্থাগারে যাবে।
train	The traveler goes to Khulna by airplane.	ভ্রমণকারী খুলনায় বিমানে যায়।
train	The encoder-decoder model is trained for intent detection.	এনকোডার-ডিকোডার মডেলটি উদ্দেশ্য শনাক্তকরণের জন্য প্রশিক্ষিত।
train	Please send the message this morning.	দয়া করে আজ সকালে বার্তাটি পাঠান।
train	Mina reads a novel every evening.	মিনা প্রতিদিন সন্ধ্যায় একটি উপন্যাস পড়ে।
train	The pharmacy is school the near.	ওষুধের দোকানটি স্কুলটির কাছে।
train	The nurse explained proper sleep to the patient.	নার্স রোগীকে পর্যাপ্ত ঘুম সম্পর্কে বুঝিয়ে বলেছেন।
train	There is a library in the telephone.	গ্রন্থাগারে একটি টেলিফোন আছে।
train	Where can I buy a dictionary in the shopping mall?	আমি শপিং মলে একটি অভিধান কোথায় কিনতে পারি?
train	The student studies biology at night.	শিক্ষার্থী জীববিজ্ঞান রাতে পড়ে।
train	Where can I buy a cup of tea in the market?	আমি বাজারে এক কাপ চা কোথায় কিনতে পারি?
train	Please write your name before you leave.	দয়া করে যাওয়ার আগে আপনার নাম লিখুন।
train	My friend will review the lesson tomorrow.	আমার বন্ধু আগামীকাল পাঠটি পুনরায় দেখবে।
train	The designer uses the computer to solve a problem.	ডিজাইনার কম্পিউটার ব্যবহার করে একটি সমস্যা সমাধান করতে।
train	the doctor reads a novel every evening.	ডাক্তার প্রতিদিন সন্ধ্যায় একটি উপন্যাস পড়ে।
train	the farmer reads a textbook every evening.	কৃষক প্রতিদিন সন্ধ্যায় একটি পাঠ্যবই পড়ে।
train	There is a waiting room in the chair.	অপেক্ষাকক্ষে একটি চেয়ার আছে।
train	The traveler goes to Chattogram by airplane.	ভ্রমণকারী চট্টগ্রামে বিমানে যায়।
train	The door is red.	দরজাটি লাল।
train	My friend will travel to the city this evening.	আমার বন্ধু আজ সন্ধ্যায় শহরে যাবে।
train	The doctor explained hand hygiene to the patient.	ডাক্তার রোগীকে হাতের পরিচ্ছন্নতা সম্পর্কে বুঝিয়ে বলেছেন।
train	There is a kitchen in the whiteboard.	রান্নাঘরে একটি সাদা বোর্ড আছে।
train	The engineer uses the computer to test the software.	প্রকৌশলী কম্পিউটার ব্যবহার করে সফটওয়্যার পরীক্ষা করতে।
train	The pharmacist explained stress management to the patient.	ফার্মাসিস্ট রোগীকে মানসিক চাপ নিয়ন্ত্রণ সম্পর্কে বুঝিয়ে বলেছেন।
train	Where can I buy a dictionary in the hospital area?	আমি হাসপাতাল এলাকায় একটি অভিধান কোথায় কিনতে পারি?
train	My friend will buy some groceries after breakfast.	আমার বন্ধু সকালের নাশতার পরে কিছু মুদি পণ্য কিনবে।
train	There is a hall in the table.	হলে একটি টেবিল আছে।
train	Mina reads a report every evening.	মিনা প্রতিদিন সন্ধ্যায় একটি প্রতিবেদন পড়ে।
train	The book is red.	বইটি লাল।
train	The traveler goes to the airport by motorcycle.	ভ্রমণকারী বিমানবন্দরে মোটরসাইকেলে যায়।
train	The encoder-decoder model is trained for headline generation.	এনকোডার-ডিকোডার মডেলটি শিরোনাম তৈরির জন্য প্রশিক্ষিত।
train	The surgeon explained safe medicine use to the patient.	সার্জন রোগীকে নিরাপদ ওষুধ ব্যবহার সম্পর্কে বুঝিয়ে বলেছেন।
train	We measured memory usage for the baseline model.	আমরা বেসলাইন মডেলের মেমরি ব্যবহার পরিমাপ করেছি।
train	If it is cold, we will drink more water.	যদি ঠান্ডা থাকে, আমরা আরও পানি পান করব।
train	The translation model is trained for question answering.	অনুবাদ মডেলটি প্রশ্নোত্তরের জন্য প্রশিক্ষিত।
train	The student studies geography on Friday.	শিক্ষার্থী ভূগোল শুক্রবার পড়ে।
train	Rina goes to the market every week.	রিনা প্রতি সপ্তাহে বাজারে যায়।
train	The experimental model is trained for text classification.	পরীক্ষামূলক মডেলটি টেক্সট শ্রেণিবিন্যাসের জন্য প্রশিক্ষিত।
train	The student opened the window this morning.	শিক্ষার্থী আজ সকালে জানালাটি খুলেছে।
train	The programmer uses the computer to analyze data.	প্রোগ্রামার কম্পিউটার ব্যবহার করে ডেটা বিশ্লেষণ করতে।
train	Rina can solve puzzles very well.	রিনা খুব ভালোভাবে ধাঁধা সমাধান করতে পারে।
train	The student studies physics after class.	শিক্ষার্থী পদার্থবিজ্ঞান ক্লাসের পরে পড়ে।
train	The pharmacy is park the beside.	ওষুধের দোকানটি পার্কটির পাশে।
train	The pharmacy is post office the south of.	ওষুধের দোকানটি ডাকঘরটির দক্ষিণে।
train	The technician uses the computer to test the software.	প্রযুক্তিবিদ কম্পিউটার ব্যবহার করে সফটওয়্যার পরীক্ষা করতে।
train	The student visited the museum yesterday.	শিক্ষার্থী গতকাল জাদুঘরটি ঘুরে দেখেছে।
train	If it rains, we will carry an umbrella.	যদি বৃষ্টি হয়, আমরা ছাতা সঙ্গে নেব।
train	The experimental model is trained for Bangla-to-English translation.	পরীক্ষামূলক মডেলটি বাংলা থেকে ইংরেজি অনুবাদের জন্য প্রশিক্ষিত।
train	Where can I buy a cup of tea in the shopping mall?	আমি শপিং মলে এক কাপ চা কোথায় কিনতে পারি?
train	Where can I buy fresh vegetables in the city center?	আমি শহরের কেন্দ্রে তাজা সবজি কোথায় কিনতে পারি?
train	There is a store in the telephone.	দোকানে একটি টেলিফোন আছে।
train	the student goes to the hospital every week.	শিক্ষার্থী প্রতি সপ্তাহে হাসপাতালে যায়।
train	There is a living room in the computer.	বসার ঘরে একটি কম্পিউটার আছে।
train	The kite is orange.	ঘুড়িটি কমলা রঙের।
train	The small Transformer is trained for intent detection.	ছোট ট্রান্সফরমারটি উদ্দেশ্য শনাক্তকরণের জন্য প্রশিক্ষিত।
train	The nurse explained regular exercise to the patient.	নার্স রোগীকে নিয়মিত ব্যায়াম সম্পর্কে বুঝিয়ে বলেছেন।
train	the teacher reads a history book every evening.	শিক্ষক প্রতিদিন সন্ধ্যায় একটি ইতিহাসের বই পড়ে।
train	The traveler goes to the airport by rickshaw.	ভ্রমণকারী বিমানবন্দরে রিকশায় যায়।
train	There is a store in the table.	দোকানে একটি টেবিল আছে।
train	The neural network is trained for question answering.	নিউরাল নেটওয়ার্কটি প্রশ্নোত্তরের জন্য প্রশিক্ষিত।
train	The dentist explained dental care to the patient.	দন্তচিকিৎসক রোগীকে দাঁতের যত্ন সম্পর্কে বুঝিয়ে বলেছেন।
train	Karim likes vegetables.	করিম সবজি পছন্দ করে।
train	We measured parameter count for the training set.	আমরা প্রশিক্ষণ সেটের প্যারামিটারের সংখ্যা পরিমাপ করেছি।
train	The shopkeeper packed seven notebooks.	দোকানদার সাতটি খাতা প্যাক করেছে।
train	The pharmacy is library the behind.	ওষুধের দোকানটি গ্রন্থাগারটির পেছনে।
train	The analyst uses the computer to test the software.	বিশ্লেষক কম্পিউটার ব্যবহার করে সফটওয়্যার পরীক্ষা করতে।
train	The student opened the window last night.	শিক্ষার্থী গত রাতে জানালাটি খুলেছে।
train	The student uses the computer to read an article.	শিক্ষার্থী কম্পিউটার ব্যবহার করে একটি নিবন্ধ পড়তে।
train	The experimental model is trained for intent detection.	পরীক্ষামূলক মডেলটি উদ্দেশ্য শনাক্তকরণের জন্য প্রশিক্ষিত।
train	If it stops raining, we will visit the market.	যদি বৃষ্টি থেমে যায়, আমরা বাজারে যাব।
train	Rina reads a magazine every evening.	রিনা প্রতিদিন সন্ধ্যায় একটি সাময়িকী পড়ে।
train	Please check the document after lunch.	দয়া করে দুপুরের খাবারের পরে নথিটি পরীক্ষা করুন।
train	Where can I buy a bottle of water in the market?	আমি বাজারে এক বোতল পানি কোথায় কিনতে পারি?
train	There is a laboratory in the lamp.	গবেষণাগারে একটি বাতি আছে।
train	The kite is yellow.	ঘুড়িটি হলুদ।
train	Mina likes tea.	মিনা চা পছন্দ করে।
train	the student can organize events very well.	শিক্ষার্থী খুব ভালোভাবে অনুষ্ঠান আয়োজন করতে পারে।
train	My friend will call the manager before noon.	আমার বন্ধু দুপুরের আগে ব্যবস্থাপককে ফোন করবে।
train	We measured generation quality for the test set.	আমরা টেস্ট সেটের উৎপন্ন টেক্সটের মান পরিমাপ করেছি।
train	The translation model is trained for headline generation.	অনুবাদ মডেলটি শিরোনাম তৈরির জন্য প্রশিক্ষিত।
train	If it becomes cooler, we will visit the market.	যদি আবহাওয়া ঠান্ডা হয়, আমরা বাজারে যাব।
train	Where can I buy a bus pass in this village?	আমি এই গ্রামে একটি বাস পাস কোথায় কিনতে পারি?
train	my sister can organize events very well.	আমার বোন খুব ভালোভাবে অনুষ্ঠান আয়োজন করতে পারে।
train	Mina likes bread.	মিনা রুটি পছন্দ করে।
train	Where can I buy a cup of tea in this neighborhood?	আমি এই এলাকায় এক কাপ চা কোথায় কিনতে পারি?
train	The engineer uses the computer to solve a problem.	প্রকৌশলী কম্পিউটার ব্যবহার করে একটি সমস্যা সমাধান করতে।
train	The umbrella is black.	ছাতাটি কালো।
train	my brother goes to the library every week.	আমার ভাই প্রতি সপ্তাহে গ্রন্থাগারে যায়।
train	There is a bedroom in the cabinet.	শোবার ঘরে একটি আলমারি আছে।
train	Where can I buy a bus pass in the university area?	আমি বিশ্ববিদ্যালয় এলাকায় একটি বাস পাস কোথায় কিনতে পারি?
train	The traveler goes to the city by rickshaw.	ভ্রমণকারী শহরে রিকশায় যায়।
train	If it is cold, we will play outside.	যদি ঠান্ডা থাকে, আমরা বাইরে খেলব।
train	The traveler goes to the city by train.	ভ্রমণকারী শহরে ট্রেনে যায়।
train	the teacher reads a newspaper every evening.	শিক্ষক প্রতিদিন সন্ধ্যায় একটি সংবাদপত্র পড়ে।
train	If it is sunny, we will go to the park.	যদি রোদ থাকে, আমরা পার্কে যাব।
train	There is a library in the computer.	গ্রন্থাগারে একটি কম্পিউটার আছে।
train	Please check the document carefully.	দয়া করে সাবধানে নথিটি পরীক্ষা করুন।
train	The shopkeeper packed nine notebooks.	দোকানদার নয়টি খাতা প্যাক করেছে।
train	Rina goes to the hospital every week.	রিনা প্রতি সপ্তাহে হাসপাতালে যায়।
train	the doctor reads an article every evening.	ডাক্তার প্রতিদিন সন্ধ্যায় একটি নিবন্ধ পড়ে।
train	We measured generation quality for the small model.	আমরা ছোট মডেলের উৎপন্ন টেক্সটের মান পরিমাপ করেছি।
train	The student uses the computer to train a model.	শিক্ষার্থী কম্পিউটার ব্যবহার করে একটি মডেল প্রশিক্ষণ দিতে।
train	Rahim likes fish.	রহিম মাছ পছন্দ করে।
train	The student planted a tree last week.	শিক্ষার্থী গত সপ্তাহে একটি গাছ লাগিয়েছে।
train	We measured perplexity for the first experiment.	আমরা প্রথম পরীক্ষার পারপ্লেক্সিটি পরিমাপ করেছি।
train	We measured training loss for the baseline model.	আমরা বেসলাইন মডেলের প্রশিক্ষণ লস পরিমাপ করেছি।
train	The door is orange.	দরজাটি কমলা রঙের।
train	The pharmacy is mosque the to the right of.	ওষুধের দোকানটি মসজিদটির ডান পাশে।
train	during the weekend, the family cleans the house.	সাপ্তাহিক ছুটিতে পরিবারটি বাড়ি পরিষ্কার করে।
train	The pharmacy is restaurant the south of.	ওষুধের দোকানটি রেস্তোরাঁটির দক্ষিণে।
train	If it rains, we will play outside.	যদি বৃষ্টি হয়, আমরা বাইরে খেলব।
train	The student studies history in the morning.	শিক্ষার্থী ইতিহাস সকালে পড়ে।
train	There is a laboratory in the clock.	গবেষণাগারে একটি ঘড়ি আছে।
train	The shopkeeper packed six boxes.	দোকানদার ছয়টি বাক্স প্যাক করেছে।
train	We measured training loss for the validation set.	আমরা ভ্যালিডেশন সেটের প্রশিক্ষণ লস পরিমাপ করেছি।
train	The experimental model is trained for text summarization.	পরীক্ষামূলক মডেলটি টেক্সট সারসংক্ষেপের জন্য প্রশিক্ষিত।
train	The counselor explained safe medicine use to the patient.	পরামর্শদাতা রোগীকে নিরাপদ ওষুধ ব্যবহার সম্পর্কে বুঝিয়ে বলেছেন।
train	Rina goes to the village every week.	রিনা প্রতি সপ্তাহে গ্রামে যায়।
train	the teacher goes to the station every week.	শিক্ষক প্রতি সপ্তাহে স্টেশনে যায়।
train	My friend will review the lesson during the holiday.	আমার বন্ধু ছুটির সময় পাঠটি পুনরায় দেখবে।
train	Rina can use a computer very well.	রিনা খুব ভালোভাবে কম্পিউটার ব্যবহার করতে পারে।
train	The nutritionist explained hand hygiene to the patient.	পুষ্টিবিদ রোগীকে হাতের পরিচ্ছন্নতা সম্পর্কে বুঝিয়ে বলেছেন।
train	The analyst uses the computer to write code.	বিশ্লেষক কম্পিউটার ব্যবহার করে কোড লিখতে।
train	after class, the family plays indoor games.	ক্লাসের পরে পরিবারটি ঘরের ভেতর খেলা করে।
train	If it rains, we will travel carefully.	যদি বৃষ্টি হয়, আমরা সাবধানে ভ্রমণ করব।
train	Mina reads an article every evening.	মিনা প্রতিদিন সন্ধ্যায় একটি নিবন্ধ পড়ে।
train	The bicycle is blue.	সাইকেলটি নীল।
train	The student studies economics before class.	শিক্ষার্থী অর্থনীতি ক্লাসের আগে পড়ে।
train	The pharmacy is post office the in front of.	ওষুধের দোকানটি ডাকঘরটির সামনে।
train	before dinner, the family watches a movie.	রাতের খাবারের আগে পরিবারটি একটি সিনেমা দেখে।
train	The programmer uses the computer to design a website.	প্রোগ্রামার কম্পিউটার ব্যবহার করে একটি ওয়েবসাইট ডিজাইন করতে।
train	my brother can draw pictures very well.	আমার ভাই খুব ভালোভাবে ছবি আঁকতে পারে।
train	Where can I buy a cup of tea in the hospital area?	আমি হাসপাতাল এলাকায় এক কাপ চা কোথায় কিনতে পারি?
train	The shopkeeper packed nine oranges.	দোকানদার নয়টি কমলা প্যাক করেছে।
train	The pharmacy is post office the north of.	ওষুধের দোকানটি ডাকঘরটির উত্তরে।
train	Where can I buy a bus pass in the bus terminal?	আমি বাস টার্মিনালে একটি বাস পাস কোথায় কিনতে পারি?
train	Please read the instructions now.	দয়া করে এখন নির্দেশনাগুলো পড়ুন।
train	The nurse explained drinking water to the patient.	নার্স রোগীকে পানি পান সম্পর্কে বুঝিয়ে বলেছেন।
train	Mina likes soup.	মিনা স্যুপ পছন্দ করে।
train	The door is blue.	দরজাটি নীল।
train	The pharmacy is school the south of.	ওষুধের দোকানটি স্কুলটির দক্ষিণে।
train	The teacher uses the computer to read an article.	শিক্ষক কম্পিউটার ব্যবহার করে একটি নিবন্ধ পড়তে।
train	every morning, the family cleans the house.	প্রতিদিন সকালে পরিবারটি বাড়ি পরিষ্কার করে।
train	We measured generation quality for the final checkpoint.	আমরা চূড়ান্ত চেকপয়েন্টের উৎপন্ন টেক্সটের মান পরিমাপ করেছি।
train	There is a waiting room in the table.	অপেক্ষাকক্ষে একটি টেবিল আছে।
train	The multilingual model is trained for intent detection.	বহুভাষিক মডেলটি উদ্দেশ্য শনাক্তকরণের জন্য প্রশিক্ষিত।
train	We measured BLEU score for the first experiment.	আমরা প্রথম পরীক্ষার ব্লু স্কোর পরিমাপ করেছি।
train	Rina reads a newspaper every evening.	রিনা প্রতিদিন সন্ধ্যায় একটি সংবাদপত্র পড়ে।
train	the teacher likes bananas.	শিক্ষক কলা পছন্দ করে।
train	my sister goes to the museum every week.	আমার বোন প্রতি সপ্তাহে জাদুঘরে যায়।
train	The counselor explained dental care to the patient.	পরামর্শদাতা রোগীকে দাঁতের যত্ন সম্পর্কে বুঝিয়ে বলেছেন।
train	The pharmacy is bank the south of.	ওষুধের দোকানটি ব্যাংকটির দক্ষিণে।
train	There is a living room in the chair.	বসার ঘরে একটি চেয়ার আছে।
train	Please open the door carefully.	দয়া করে সাবধানে দরজাটি খুলুন।
train	If it is foggy, we will stay at home.	যদি কুয়াশা থাকে, আমরা বাড়িতে থাকব।
train	my brother reads a history book every evening.	আমার ভাই প্রতিদিন সন্ধ্যায় একটি ইতিহাসের বই পড়ে।
train	my brother likes tea.	আমার ভাই চা পছন্দ করে।
train	We measured memory usage for the translation system.	আমরা অনুবাদ ব্যবস্থার মেমরি ব্যবহার পরিমাপ করেছি।
